most_ads_day,most_ads_hour,test_group,users,conversions,conversion_rate,conversion_rate_pct
Saturday,5,psa,6,0,0.0,0.0
Saturday,6,ad,252,13,0.051587301587301584,5.158730158730158
Saturday,6,psa,13,0,0.0,0.0
Saturday,7,ad,727,17,0.023383768913342505,2.3383768913342506
Saturday,7,psa,27,1,0.037037037037037035,3.7037037037037033
Saturday,8,ad,2150,50,0.023255813953488372,2.3255813953488373
Saturday,8,psa,81,1,0.012345679012345678,1.2345679012345678
Saturday,9,ad,3645,60,0.01646090534979424,1.646090534979424
Saturday,9,psa,129,0,0.0,0.0
Saturday,10,ad,4867,79,0.01623176494760633,1.6231764947606329
Saturday,10,psa,179,0,0.0,0.0
Saturday,11,ad,5760,84,0.014583333333333334,1.4583333333333333
Saturday,11,psa,247,5,0.020242914979757085,2.0242914979757085
Saturday,12,ad,5852,108,0.01845522898154477,1.845522898154477
Saturday,12,psa,252,4,0.015873015873015872,1.5873015873015872
Saturday,13,ad,6056,121,0.019980184940554823,1.9980184940554824
Saturday,13,psa,238,8,0.03361344537815126,3.361344537815126
Saturday,14,ad,5849,118,0.020174388784407592,2.017438878440759
Saturday,14,psa,209,1,0.004784688995215311,0.4784688995215311
Saturday,15,ad,5869,128,0.02180950758221162,2.180950758221162
Saturday,15,psa,222,4,0.018018018018018018,1.8018018018018018
Saturday,16,ad,5223,104,0.019911928010721808,1.9911928010721809
Saturday,16,psa,223,4,0.017937219730941704,1.7937219730941705
Saturday,17,ad,4850,109,0.022474226804123712,2.247422680412371
Saturday,17,psa,166,3,0.018072289156626505,1.8072289156626504
Saturday,18,ad,4368,112,0.02564102564102564,2.564102564102564
Saturday,18,psa,143,2,0.013986013986013986,1.3986013986013985
Saturday,19,ad,4445,119,0.026771653543307086,2.677165354330709
Saturday,19,psa,160,2,0.0125,1.25
Saturday,20,ad,4593,111,0.024167210973220117,2.4167210973220117
Saturday,20,psa,155,1,0.0064516129032258064,0.6451612903225806
Saturday,21,ad,4542,146,0.032144429766622636,3.2144429766622635
Saturday,21,psa,117,3,0.02564102564102564,2.564102564102564
Saturday,22,ad,3904,99,0.02535860655737705,2.535860655737705
Saturday,22,psa,93,0,0.0,0.0
Saturday,23,ad,2839,63,0.022190912293060937,2.219091229306094
Saturday,23,psa,94,1,0.010638297872340425,1.0638297872340425
Sunday,0,ad,910,15,0.016483516483516484,1.6483516483516485
Sunday,0,psa,45,0,0.0,0.0
Sunday,1,ad,684,12,0.017543859649122806,1.7543859649122806
Sunday,1,psa,30,0,0.0,0.0
Sunday,2,ad,688,4,0.005813953488372093,0.5813953488372093
Sunday,2,psa,22,0,0.0,0.0
Sunday,3,ad,368,7,0.019021739130434784,1.9021739130434785
Sunday,3,psa,13,0,0.0,0.0
Sunday,4,ad,100,2,0.02,2.0
Sunday,4,psa,2,0,0.0,0.0
Sunday,5,ad,126,2,0.015873015873015872,1.5873015873015872
Sunday,5,psa,1,0,0.0,0.0
Sunday,6,ad,277,2,0.007220216606498195,0.7220216606498195
Sunday,6,psa,11,0,0.0,0.0
Sunday,7,ad,1089,22,0.020202020202020204,2.0202020202020203
Sunday,7,psa,31,0,0.0,0.0
Sunday,8,ad,2627,43,0.016368481157213552,1.6368481157213552
Sunday,8,psa,67,1,0.014925373134328358,1.4925373134328357
Sunday,9,ad,4041,66,0.016332590942835932,1.6332590942835932
Sunday,9,psa,135,1,0.007407407407407408,0.7407407407407408
Sunday,10,ad,5545,103,0.018575293056807936,1.8575293056807936
Sunday,10,psa,222,3,0.013513513513513514,1.3513513513513513
Sunday,11,ad,6525,113,0.01731800766283525,1.7318007662835249
Sunday,11,psa,253,2,0.007905138339920948,0.7905138339920948
Sunday,12,ad,6275,126,0.0200796812749004,2.00796812749004
Sunday,12,psa,223,3,0.013452914798206279,1.345291479820628
Sunday,13,ad,6212,122,0.019639407598197038,1.9639407598197038
Sunday,13,psa,270,7,0.025925925925925925,2.5925925925925926
Sunday,14,ad,6983,142,0.020335099527423742,2.0335099527423743
Sunday,14,psa,253,3,0.011857707509881422,1.185770750988142
Sunday,15,ad,6609,150,0.022696323195642305,2.2696323195642307
Sunday,15,psa,219,8,0.0365296803652968,3.65296803652968
Sunday,16,ad,5383,148,0.027493962474456624,2.749396247445662
